# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = FepLean_Continuous_OU_Linear_Gaussian_Model_stan_model
# start_datetime = 2026-09-04 19:19:13 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/hum/Documents/GitHub/HumOS/projects/outside_of_hum/fep_lean/specs/gnn-bridge-p4b-continuous-emission/gnn_output/12_execute_output/FepLeanContinuousOU/stan/simulation_data/FepLean_Continuous_OU_Linear-Gaussian_Model_stan_data.json
# init = 2 (Default)
# random
#   seed = 42
# output
#   file = /Users/hum/Documents/GitHub/HumOS/projects/outside_of_hum/fep_lean/specs/gnn-bridge-p4b-continuous-emission/gnn_output/12_execute_output/FepLeanContinuousOU/stan/simulation_data/cmdstan/FepLean_Continuous_OU_Linear-Gaussian_Model_stan-20260904121913.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=FepLean_Continuous_OU_Linear-Gaussian_Model_stan.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,obs_noise_scale,mu.1.1,P.1.1.1,log_lik
# Adaptation terminated
# Step size = 1.22496
# Diagonal elements of inverse mass matrix:
# 0.202327
-3.0227854,0.82652482,1.2249563,1,3,0,3.1291361,0.53231446,-0.47984082,0.34739244,-1.3087338
-2.6702836,1,1.2249563,1,1,0,2.97544,0.63171968,-0.45060867,0.38714963,-1.3294146
-3.0173491,0.89762415,1.2249563,1,1,0,3.0802474,0.53351906,-0.4794639,0.34790507,-1.3089881
-3.0555925,0.988186,1.2249563,1,1,0,3.2671729,0.52519707,-0.48208001,0.34434702,-1.3072291
-3.0516043,1,1.2249563,1,1,0,3.2829088,0.52604872,-0.48181098,0.34471293,-1.3074093
-2.3232026,1,1.2249563,1,3,0,2.8683976,0.90025381,-0.38693096,0.47375451,-1.3821811
-4.7144297,0.52957104,1.2249563,2,3,0,6.2287776,2.8111688,-0.19292429,0.7376133,-1.6588319
-4.0125415,1,1.2249563,1,1,0,4.9136161,2.3686334,-0.21826864,0.70314371,-1.606435
-2.8361372,1,1.2249563,1,1,0,3.6879433,1.5808536,-0.28489296,0.6125313,-1.4977348
-2.7202238,1,1.2249563,1,1,0,2.9072187,1.4896764,-0.29532634,0.59834138,-1.4835868
-2.4461126,1,1.2249563,1,1,0,2.6465319,1.2303679,-0.32966177,0.55164347,-1.4412165
-4.3366533,0.70408295,1.2249563,2,3,0,4.9401882,0.35479958,-0.54271277,0.26188344,-1.2702847
-3.1637073,1,1.2249563,1,1,0,4.0908961,0.50340779,-0.48906693,0.33484447,-1.3026031
-2.4446264,1,1.2249563,1,1,0,2.9397485,0.74488531,-0.42138416,0.42689643,-1.3521979
-3.1962828,0.88459258,1.2249563,2,3,0,3.3408604,1.8384306,-0.25903999,0.64769263,-1.535796
-2.4386944,1,1.2249563,2,3,0,2.9586866,1.2214804,-0.33098065,0.54984974,-1.439705
-2.3922218,0.74838374,1.2249563,2,3,0,3.9660661,1.1601322,-0.34038057,0.53706537,-1.4291585
-2.3312655,1,1.2249563,1,1,0,2.3735074,1.0439444,-0.35972946,0.51074991,-1.4086279
-6.4559192,0.34571993,1.2249563,1,3,0,6.7776404,3.9429473,-0.14875073,0.79769155,-1.7726052
-3.2090349,1,1.2249563,1,1,0,5.4665345,1.8471097,-0.25825033,0.64876661,-1.5370322
-4.0445291,0.76957491,1.2249563,1,1,0,4.2095306,2.3888596,-0.21696592,0.70491548,-1.6089492
-2.7113332,1,1.2249563,2,3,0,3.7746252,0.61712151,-0.45467642,0.38161728,-1.3264167
-2.6066665,0.77681043,1.2249563,2,3,0,4.0490092,0.65690069,-0.44376047,0.39646353,-1.3345542
-3.8947397,0.84769307,1.2249563,2,3,0,3.898111,0.39817841,-0.52587497,0.28478369,-1.2798529
-2.8394796,1,1.2249563,2,3,0,3.6101577,1.5833993,-0.28461222,0.61291311,-1.4981246
-2.7718267,1,1.2249563,1,1,0,2.9494074,1.5310202,-0.29050224,0.6049024,-1.4900481
-2.3725813,1,1.2249563,1,3,0,2.6467978,1.1297751,-0.34523224,0.53046685,-1.4238657
-2.5373066,0.94473787,1.2249563,2,3,0,2.6863773,0.68910857,-0.43529885,0.40797174,-1.3410694
-2.3387751,0.98762562,1.2249563,1,3,0,2.5615353,1.0637929,-0.35626976,0.51545527,-1.412188
-3.349437,0.75632905,1.2249563,1,3,0,3.5787001,0.47081853,-0.49990329,0.32010647,-1.2956293
-3.9010373,0.84286649,1.2249563,1,1,0,4.1359063,0.39748241,-0.52613687,0.28442749,-1.2797003
-3.9010373,0.61111922,1.2249563,1,1,0,5.2755077,0.39748241,-0.52613687,0.28442749,-1.2797003
-2.3764693,0.95104327,1.2249563,1,3,0,3.8396779,1.1360904,-0.34421157,0.53185502,-1.4249709
-2.3172025,0.99103576,1.2249563,2,3,0,2.4261468,0.98402782,-0.3705931,0.49597481,-1.3977455
-2.4917995,0.95307689,1.2249563,1,3,0,2.5230815,0.71409767,-0.42895282,0.41660267,-1.3460794
-3.0790794,0.83281252,1.2249563,1,1,0,3.085683,0.52025486,-0.48364721,0.34221555,-1.3061825
-2.38731,1,1.2249563,2,3,0,3.0446754,1.1528729,-0.34152831,0.53550439,-1.4278974
-2.3310414,1,1.2249563,2,3,0,2.3764353,0.8773341,-0.39165486,0.46732976,-1.3778504
-2.4280956,0.97057195,1.2249563,1,3,0,2.4778825,1.2084216,-0.3329378,0.54718791,-1.4374767
-2.3386307,0.98539915,1.2249563,2,3,0,2.4997937,0.86070178,-0.39515576,0.46256837,-1.3746879
-2.3467928,0.99745164,1.2249563,1,1,0,2.3526604,0.84593335,-0.39831721,0.45826863,-1.3718658
-2.3467928,0.96604353,1.2249563,1,1,0,2.4238312,0.84593335,-0.39831721,0.45826863,-1.3718658
-3.0224947,0.82609995,1.2249563,1,3,0,3.214429,1.7176504,-0.27055247,0.63203508,-1.5182865
-4.3210326,0.88894584,1.2249563,2,3,0,4.3646135,0.35616786,-0.5421652,0.26262816,-1.2705881
-2.3245355,1,1.2249563,1,3,0,3.8532445,0.89567392,-0.38786577,0.47248312,-1.3813182
-2.514701,0.94698301,1.2249563,1,3,0,2.569216,1.30529,-0.31894774,0.5662151,-1.4537977
-2.3384343,0.98841891,1.2249563,1,3,0,2.540285,0.86109064,-0.3950732,0.46268066,-1.374762
-3.6892087,0.69144279,1.2249563,1,3,0,3.9654399,2.1628067,-0.23247296,0.68382513,-1.5801333
-4.0126189,0.90362521,1.2249563,1,1,0,4.3880927,2.3686824,-0.21826547,0.70314803,-1.6064411
-2.9293192,1,1.2249563,1,1,0,3.743573,1.650445,-0.27741267,0.62270487,-1.5082885
-2.3729468,0.88099395,1.2249563,2,3,0,3.735105,0.80969607,-0.4062931,0.44742103,-1.364885
-4.7397931,0.58879561,1.2249563,2,3,0,5.8560112,2.8271916,-0.19211659,0.7387118,-1.6606327
-2.324199,0.98018537,1.2249563,1,3,0,4.3450898,0.89679389,-0.38763675,0.47279459,-1.3815293
-2.5487385,0.90664247,1.2249563,2,3,0,2.8220793,0.6833735,-0.43678187,0.40595477,-1.3399141
-3.1629648,0.82594274,1.2249563,1,1,0,3.1778089,0.50354951,-0.48902083,0.33490717,-1.3026333
-2.884621,1,1.2249563,2,3,0,3.2095717,0.565481,-0.46967483,0.36121869,-1.3157033
-2.9241835,0.65119883,1.2249563,2,3,0,5.3153192,0.55539806,-0.47271952,0.35707776,-1.3135918
-3.7054108,0.92821277,1.2249563,2,3,0,3.7954153,0.42040665,-0.51764544,0.29597626,-1.2847139
-3.175395,1,1.2249563,1,1,0,3.7274704,0.5011901,-0.48978942,0.33386185,-1.3021306
-2.8054866,1,1.2249563,1,1,0,3.1588909,0.58736371,-0.4632001,0.37002466,-1.3202637
-3.0512309,0.92642519,1.2249563,1,1,0,3.1651022,0.52612865,-0.48178575,0.34474724,-1.3074262
-2.415515,0.89311237,1.2249563,2,3,0,3.7386549,1.1922903,-0.33538762,0.54385603,-1.4347117
-2.415515,0.78537209,1.2249563,1,3,0,3.1093466,1.1922903,-0.33538762,0.54385603,-1.4347117
-3.1733982,0.87573077,1.2249563,2,3,0,3.3452019,0.50156723,-0.48966641,0.33402915,-1.302211
-2.4822332,1,1.2249563,2,3,0,2.9609247,0.71987218,-0.4275126,0.41856144,-1.3472315
-2.3235867,0.95115451,1.2249563,2,3,0,2.7584216,1.0182807,-0.36430365,0.50452878,-1.4039918
-2.3764818,0.97446265,1.2249563,2,3,0,2.4518389,0.80560536,-0.40721358,0.44616912,-1.3640919
-2.5606888,0.9441146,1.2249563,1,1,0,2.5636621,0.67757568,-0.43829142,0.40390171,-1.338744
-2.7781174,0.93450309,1.2249563,1,1,0,2.8240045,0.59554712,-0.46082439,0.37325574,-1.3219614
-3.7880829,0.73072325,1.2249563,1,1,0,3.8275421,0.41037678,-0.52132667,0.29096961,-1.2825241
-5.9335978,0.83850423,1.2249563,2,3,0,6.1271851,0.25349108,-0.58657539,0.20222807,-1.2475496
-6.9092264,0.74083595,1.2249563,1,1,0,7.8593237,0.21408528,-0.60561399,0.17633463,-1.238578
-2.8095497,1,1.2249563,1,3,0,5.6491529,0.58617793,-0.46354637,0.3695537,-1.3200174
