# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = FepLean_Symmetric_Boolean_Generative_Model_stan_model
# start_datetime = 2026-09-04 04:34:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/hum/Documents/GitHub/HumOS/projects/outside_of_hum/fep_lean/specs/gnn-bridge-p1-finite-spike/gnn_output/12_execute_output/FepLeanSymmetricBool/stan/simulation_data/FepLean_Symmetric_Boolean_Generative_Model_stan_data.json
# init = 2 (Default)
# random
#   seed = 42
# output
#   file = /Users/hum/Documents/GitHub/HumOS/projects/outside_of_hum/fep_lean/specs/gnn-bridge-p1-finite-spike/gnn_output/12_execute_output/FepLeanSymmetricBool/stan/simulation_data/cmdstan/FepLean_Symmetric_Boolean_Generative_Model_stan-20260903213430.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=FepLean_Symmetric_Boolean_Generative_Model_stan.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,A_est.1.1,A_est.2.1,A_est.1.2,A_est.2.2,filtered_state.1.1,filtered_state.2.1,filtered_state.1.2,filtered_state.2.2,log_marginal
# Adaptation terminated
# Step size = 0.955517
# Diagonal elements of inverse mass matrix:
# 0.0773635, 0.0931307
-34.020324,0.72283568,0.95551693,1,1,0,34.037065,0.32387046,0.67051773,0.67612954,0.32948227,0.32569822,0.32569822,0.67430178,0.67430178,-1.3975496
-31.831804,1,0.95551693,2,3,0,34.352846,0.62083944,0.58976744,0.37916056,0.41023256,0.51283323,0.51283323,0.48716677,0.48716677,-1.0040508
-31.556576,0.84726547,0.95551693,2,7,0,33.183688,0.42701836,0.53087597,0.57298164,0.46912403,0.44578859,0.44578859,0.55421141,0.55421141,-1.47233
-31.631075,0.9832398,0.95551693,2,3,0,31.873351,0.59962534,0.45320051,0.40037466,0.54679949,0.56953896,0.56953896,0.43046104,0.43046104,-1.2833387
-31.498155,1,0.95551693,2,3,0,31.870358,0.56837682,0.59457818,0.43162318,0.40542182,0.48873501,0.48873501,0.51126499,0.51126499,-1.084366
-33.744689,0.7102913,0.95551693,2,3,0,34.035809,0.70298399,0.37410017,0.29701601,0.62589983,0.65267322,0.65267322,0.34732678,0.34732678,-1.2377793
-33.673931,0.95339726,0.95551693,2,3,0,34.846506,0.37912739,0.70281407,0.62087261,0.29718593,0.35041396,0.35041396,0.64958604,0.64958604,-1.2287802
-33.045245,0.99056621,0.95551693,2,3,0,34.282019,0.6474685,0.3620111,0.3525315,0.6379889,0.64138839,0.64138839,0.35861161,0.35861161,-1.3674245
-31.357392,1,0.95551693,2,3,0,32.715165,0.47159667,0.56859967,0.52840333,0.43140033,0.45337275,0.45337275,0.54662725,0.54662725,-1.3074754
-32.86478,0.77348144,0.95551693,2,3,0,33.264201,0.33111685,0.5189877,0.66888315,0.4810123,0.38950133,0.38950133,0.61049867,0.61049867,-1.7110862
-32.213226,0.94816651,0.95551693,2,3,0,33.904881,0.47166968,0.66320792,0.52833032,0.33679208,0.41561282,0.41561282,0.58438718,0.58438718,-1.1332448
-34.058781,0.82187411,0.95551693,2,7,0,34.504646,0.73629761,0.41024568,0.26370239,0.58975432,0.64218911,0.64218911,0.35781089,0.35781089,-1.1127912
-32.318507,1,0.95551693,2,3,0,34.135948,0.67368489,0.55192196,0.32631511,0.44807804,0.54967455,0.54967455,0.45032545,0.45032545,-0.97942214
-32.126416,0.72710449,0.95551693,1,3,0,35.520159,0.39432034,0.45252754,0.60567966,0.54747246,0.46563303,0.46563303,0.53436697,0.53436697,-1.7187628
-32.400465,0.95745705,0.95551693,2,3,0,32.771194,0.66236071,0.60000813,0.33763929,0.39999187,0.52469666,0.52469666,0.47530334,0.47530334,-0.92031439
-32.770289,0.97312905,0.95551693,2,3,0,32.959837,0.66444175,0.63594424,0.33555825,0.36405576,0.51095733,0.51095733,0.48904267,0.48904267,-0.8609721
-32.355382,1,0.95551693,1,1,0,32.836063,0.6510641,0.61331546,0.3489359,0.38668454,0.51492773,0.51492773,0.48507227,0.48507227,-0.91713129
-32.563741,0.97912595,0.95551693,2,3,0,33.202462,0.51025791,0.3482859,0.48974209,0.6517141,0.59432949,0.59432949,0.40567051,0.40567051,-1.6913295
-31.321111,0.95560489,0.95551693,2,3,0,32.968449,0.52439897,0.45978707,0.47560103,0.54021293,0.53282504,0.53282504,0.46717496,0.46717496,-1.418175
-31.266735,1,0.95551693,1,1,0,31.325311,0.52779784,0.47065339,0.47220216,0.52934661,0.52861654,0.52861654,0.47138346,0.47138346,-1.3893943
-31.42332,0.9313867,0.95551693,2,3,0,31.8955,0.46691237,0.57805455,0.53308763,0.42194545,0.44682024,0.44682024,0.55317976,0.55317976,-1.2983239
-32.397998,0.85321162,0.95551693,2,3,0,32.819595,0.35825015,0.51164949,0.64174985,0.48835051,0.41182929,0.41182929,0.58817071,0.58817071,-1.6650492
-32.862939,0.84141416,0.95551693,2,3,0,34.380962,0.70572124,0.49703094,0.29427876,0.50296906,0.58675532,0.58675532,0.41324468,0.41324468,-1.0170695
-33.252322,0.97865641,0.95551693,2,3,0,33.338728,0.31337655,0.55269137,0.68662345,0.44730863,0.36183831,0.36183831,0.63816169,0.63816169,-1.6738783
-34.764466,0.85190668,0.95551693,3,7,0,35.835252,0.2541811,0.52027245,0.7458189,0.47972755,0.32820703,0.32820703,0.67179297,0.67179297,-1.8974896
-34.464897,0.98756744,0.95551693,2,7,0,35.098098,0.76915283,0.51739327,0.23084717,0.48260673,0.59784319,0.59784319,0.40215681,0.40215681,-0.88237198
-31.838837,0.93818462,0.95551693,2,3,0,35.753615,0.56126129,0.63559077,0.43873871,0.36440923,0.46894793,0.46894793,0.53105207,0.53105207,-1.0269047
